상태,피그마,key,설명,en,lo,th,zh
병합 필요,ADMIN 콕콕관리,"Are you sure you want to change the settlement to ""Paid"" status? You can’t undo this action :(",,"Are you sure you want to change the settlement to ""Paid"" status? You can’t undo this action :(","ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການປ່ຽນການຊໍາລະເປັນສະຖານະ ""ຈ່າຍແລ້ວ""? ທ່ານບໍ່ສາມາດຍົກເລີກການກະທຳນີ້ໄດ້ :(","คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยนสถานะการชำระเงินเป็น ""ชำระแล้ว"" คุณไม่สามารถยกเลิกการกระทำนี้ได้ :(",
병합 필요,ADMIN 콕콕관리,"Are you sure you want to change the settlement to ""Paid"" status? You can’t undo this action :(",,"Are you sure you want to change the settlement to ""Paid"" status? You can’t undo this action :(","ທ່ານແນ່ໃຈບໍ່ ວ່າທ່ານຕ້ອງການປ່ຽນສະຖານະການຊໍາລະ ເປັນ""ຈ່າຍແລ້ວ""? ປ່ຽນແລ້ວທ່ານບໍ່ສາມາດກັບຄືນ :(",,
확인 필요,ADMIN 정산,"Are you sure you want to charge points to the selected driver? Once the approval is done, it cannot be withdrawn.",본문,"Are you sure you want to charge points to the selected driver? Once the approval is done, it cannot be withdrawn.","ທ່ານແນ່ໃຈບໍ່ວ່າ ທ່ານຈະຕື່ມຄະແນນໃຫ້ຜູ້ຂັບລົດຂົນສົ່ງທີ່ເລືອກ?   
ທັນທີທີ່ ການຢືນຢັນສຳເລັດ, ມັນຈະບໍ່ສາມາດຖອນຄືນໄດ້.",,
번역 완료,ADMIN 설정,"Are you sure you want to delete the administrator?
You can’t undo this action.",본문,"Are you sure you want to delete the administrator?
You can’t undo this action.",ທ່ານແນ່ໃຈບໍ່ວ່າ ຕ້ອງການລຶບຜູ້ດູແລການຂົນສົ່ງ ນີ້ອອກ? ລຶບແລ້ວ ທ່ານບໍ່ສາມາດເອີ້ນກັບໄດ້.,,
번역 완료,ADMIN 지원,"Are you sure you want to delete the banner?
You can’t undo this action.",,"Are you sure you want to delete the banner?
You can’t undo this action.","ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບ ປ້າຍໂຄສະນາ?
ລຶບແລ້ວ ທ່ານບໍ່ສາມາດກັບຄືນ.",,
번역 완료,ADMIN 설정,"Are you sure you want to delete the hub?
You can’t undo this action.",본문,"Are you sure you want to delete the hub?
You can’t undo this action.",ທ່ານແນ່ໃຈບໍ່ວ່າ ຕ້ອງການລຶບສູນຂົນສົ່ງນີ້ອອກ? ລຶບແລ້ວ ທ່ານບໍ່ສາມາດເອີ້ນກັບໄດ້.,,
번역 완료,ADMIN 설정,"Are you sure you want to delete the route?
You can’t undo this action.",본문,"Are you sure you want to delete the route?
You can’t undo this action.",ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການລຶບເສັ້ນທາງນີ້ອອກ? ລຶບແລ້ວ ທ່ານບໍ່ສາມາດເອີ້ນກັບໄດ້.,,
번역 완료,ADMIN 콕콕관리,Are you sure you want to delete the selected note?,본문,Are you sure you want to delete the selected note?,ທ່ານແນ່ໃຈບໍ່ ວ່າຕ້ອງການລຶບ ບັນທຶກທີ່ເລືອກ,,
번역 완료,ADMIN 드라이버관리,Are you sure you want to modify the hero's(or driver's) settlement amount? This action cannot be undone.,,Are you sure you want to modify the hero's(or driver's) settlement amount? This action cannot be undone.,ທ່ານແນ່ໃຈບໍ່ວ່າຕ້ອງການແກ້ໄຂຈໍານວນການຊໍາລະຂອງ hero (ຫຼືຄົນຂັບ)? ຄຳສັ່ງນີ້ຍົກເລີກແລ້ວບໍ່ສາມາດກັບມາແກ້ໄຂໄດ້ອີກ.,,
번역 완료,ADMIN 지원,"Are you sure you want to pin the notice?
You can pin up to 5 posts.",본문,"Are you sure you want to pin the notice?
You can pin up to 5 posts.","ທ່ານແນ່ໃຈ່ບໍ່ ວ່າຕ້ອງການປັກໝຸດແຈ້ງການ?
ທ່ານສາມາດປັກໝຸດໄດ້ສູງສຸດ 5 ໂພສ.",,
확인 필요,ADMIN 정산,"Are you sure you want to reject the point charge request? Once the approval is done, it cannot be withdrawn.",본문,"Are you sure you want to reject the point charge request? Once the approval is done, it cannot be withdrawn.","ທ່ານແນ່ໃຈບໍ່ວ່າ ທ່ານຈະປະຕິເສດ ຄຳຂໍຕື່ມຄະແນນ?   
ທັນທີທີ່ ການຢືນຢັນສຳເລັດ, ມັນຈະບໍ່ສາມາດຖອນຄືນໄດ້.",,
번역 완료,ADMIN 정산,"Are you sure you want to reject the withdrawal request? Once the approval is done, it cannot be withdrawn.",,"Are you sure you want to reject the withdrawal request? Once the approval is done, it cannot be withdrawn.","ທ່ານແນ່ໃຈບໍ່ວ່າ ທ່ານຈະປະຕິເສດ ຄຳຂໍເບີກຖອນເງິນ?   
ທັນທີທີ່ ການຢືນຢັນສຳເລັດ, ມັນຈະບໍ່ສາມາດຖອນຄືນໄດ້.",,
번역 완료,ADMIN 지원,Are you sure you want to unpin the notice?,본문,Are you sure you want to unpin the notice?,ທ່ານແນ່ໃຈບໍ່ ວ່າທ່ານຕ້ອງການ ຈະຖອນປັກໝຸດ ແຈ້ງການ?,,
번역 완료,"ADMIN 설정, ADMIN 일반배송(보류)",Arrival,,Arrival,ຈຸດຮອດປາຍທາງ,,
번역 완료,ADMIN 일반배송(보류),Arrival hub,,Arrival hub,ສູນຂົນສົ່ງປາຍທາງ,,
번역 완료,ADMIN 일반배송(보류),Arrival of goods,타이틀,Arrival of goods,ການມາຮອດຂອງສິນຄ້າ,,
번역 완료,ADMIN 무브관리,Arrived,,Arrived,ມາຮອດແລ້ວ,มาถึงแล้ว,
번역 완료,ADMIN 콕콕관리,Arrived at the hub,,Arrived at the hub,ເຖິງສູນກະຈາຍສິນຄ້າຍ່ອຍ,ไปที่ศูนย์จัดส่ง,处理中心 已收入
번역 완료,ADMIN 일반배송(보류),Arrived last hub,타이틀,Arrived last hub,ມາຮອດ ສູນຂົນສົ່ງສຸດທ້າຍແລ້ວ,,
번역 완료,ADMIN 콕콕관리,Assign,,Assign,ຈັດສັນ,,
병합 필요,ADMIN 로그인,"At least 2 types (A-Z, a-z, numbers, symbols)",,"At least 2 types (A-Z, a-z, numbers, symbols)","ຢ່າງໜ້ອຍ 2 ປະເພດ (A-Z, a-z, ຕົວເລກ, ສັນຍາລັກ)",,
병합 필요,ADMIN 설정,"At least 2 types (A-Z, a-z, numbers, symbols)",,"At least 2 types (A-Z, a-z, numbers, symbols)","ຢ່າງໜ້ອຍ 2 ປະເພດ (A-Z, a-z, ຕົວເລກ, ສັນຍາລັກ)",,
번역 완료,ADMIN 지원,Attachments,,Attachments,ແນບໄຟລ໌,,
병합 필요,ADMIN. 캘린더,AUG,Month (short),AUG,ເດືອນສິງຫາ,,
번역 완료,ADMIN. 캘린더,August,Month (full),August,ເດືອນສິງຫາ,,
번역 완료,ADMIN 차량관리,Available,,Available,ພ້ອມນຳໃຊ້,พร้อมใช้งาน,
병합 필요,ADMIN 지원,Available for purchases over,,Available for purchases over,ສໍາລັບທ່ານທີ່ຊື້ເຄື່ອງ ເກີນ,,
번역 완료,ADMIN 지원,Available service,,Available service,ບໍລິການທີ່ຮອງຮັບ,,
번역 완료,ADMIN 드라이버관리,B2B orders,,B2B orders,ຄໍາສັ່ງຂົນສົ່ງ B2B,,
번역 완료,ADMIN 지원,Background color,,Background color,ສີພື້ນຫຼັງ,,
번역 완료,ADMIN 드라이버관리,Balance,,Balance,ຍອດຄົງເຫລືອ,,
번역 완료,ADMIN 드라이버관리,Bank account,,Bank account,ບັນຊີທະນາຄານ,,
번역 완료,ADMIN 정산,Bank name,,Bank name,ຊື່ທະນາຄານ,,
번역 완료,ADMIN 지원,Banner details,,Banner details,ລາຍລະອຽດປ້າຍໂຄສະນາ,รายละเอียดแบนเนอร์,
번역 완료,ADMIN 지원,Banner image,,Banner image,ຮູບພາບ ປ້າຍໂຄສະນາ,,
번역 완료,ADMIN 지원,Banners,,Banners,ປ້າຍໂຄສະນາ,,
번역 완료,ADMIN 지원,Based on Indochina Time (ICT).,,Based on Indochina Time (ICT).,ອີງໃສ່ເວລາອິນດູຈີນ (ICT).,ตามเวลาอินโดจีน (ICT),
번역 완료,"Landing Liability, Landing Restrictions",Battery,,Battery,ຫມໍ້ໄຟ,,
번역 완료,ADMIN 배터리,Battery code,,Battery code,ລະຫັດແບດເຕີລີ,,
적용 완료,ADMIN 배터리,Battery details,,Battery details,ລາຍລະອຽດແບດເຕີລີ່,,
번역 완료,ADMIN 배터리,Battery history,,Battery history,ປະຫວັດແບດເຕີລີ,,
번역 완료,ADMIN 배터리,Battery list,,Battery list,ລາຍການແບດເຕີລີ,,
번역 완료,ADMIN 배터리,Battery usage history,,Battery usage history,ປະຫວັດການນຳໃຊ້ແບດເຕີລີ,,
번역 완료,ADMIN 차량관리,Bearing,,Bearing,ລູກປືນ,,
번역 완료,"ADMIN 무브배차, ADMIN 차량관리",Big TukTuk,,Big TukTuk,ລົດສາມລໍ້ໄຟຟ້າ ໃຫຍ່,,
번역 완료,ADMIN 회원관리,Black,,Black,Black,,
번역 완료,ADMIN 회원관리,Blue,,Blue,Blue,,
병합 필요,ADMIN 콕콕관리,Box1,,Box1,ກ໋ອງ1,,
병합 필요,ADMIN 콕콕관리,Box2,,Box2,ກ໋ອງ2,,
병합 필요,ADMIN 콕콕관리,Box3,,Box3,ກ໋ອງ3,,
병합 필요,ADMIN 콕콕관리,Box4,,Box4,ກ໋ອງ4,,
번역 완료,ADMIN 차량관리,Brake,,Brake,ເບກ,,
번역 완료,ADMIN 설정,Branch administrator,,Branch administrator,ຜູ້ດູແລລະບົບ ສາຂາ,,
번역 완료,ADMIN 설정,Branch manager,,Branch manager,ຜູ້ຈັດການສາຂາ,,
번역 완료,ADMIN 차량관리,Brand,,Brand,ຍີ່ຫໍ້,,
번역 완료,ADMIN 차량관리,Brand has been changed.,,Brand has been changed.,ຍີ່ຫໍ້ມີການປ່ຽນແປງ.,,
번역 완료,ADMIN 차량관리,Breakdown,,Breakdown,ຊຳຫຼຸດ,,
번역 완료,ADMIN 차량관리,Broke item has been changed.,,Broke item has been changed.,ລາຍການເປ່ເພໄດ້ຖືກປ່ຽນແລ້ວ.,,
번역 완료,ADMIN 차량관리,Broken date,,Broken date,ວັນທີເປ່ເພ,,
번역 완료,ADMIN 차량관리,Broken item,,Broken item,ລາຍການເປ່ເພ,,
번역 완료,ADMIN 차량관리,Broken reason,,Broken reason,ເຫດຜົນການເປ່ເພ,,
번역 완료,ADMIN 로그인,Browser not supported,,Browser not supported,ບໍ່່ຮອງຮັບບຣາວເຊີ,ไม่รองรับเบราว์เซอร์,
번역 완료,ADMIN 지원,Business,,Business,ທຸລະກິດ,,
번역 완료,ADMIN 모니터링,Business hours,,Business hours,ເວລາເຮັດວຽກ,เวลาทำการ,
병합 필요,"ADMIN 로지스틱스(보류), ADMIN 설정, ADMIN 정산, ADMIN 지원, ADMIN 차량관리",Cancel,,Cancel,ຍົກເລີກ,,
번역 완료,ADMIN 콕콕관리,Cancel dispatch,타이틀,Cancel dispatch,ຍົກ​ເລີກ​ ການ​ຈັດ​ຄິວສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Canceled,,Canceled,ຍົກເລີກ,,
번역 완료,ADMIN 콕콕관리,Canceled (Administrator),,Canceled (Administrator),ຍົກເລີກ (ຜູ້ເບິ່ງແຍງລະບົບ),ยกเลิกแล้ว (ผู้ดูแลระบบ),
번역 완료,ADMIN 지원,Canceled by,,Canceled by,ຍົກເລີກໂດຍ,,
번역 완료,ADMIN 설정,Canceled date,,Canceled date,ວັນທີ ຍົກເລີກ,,
번역 완료,ADMIN 지원,Cancellation history,,Cancellation history,ປະຫວັດການຍົກເລີກ,,
번역 완료,ADMIN 지원,Cancellation information,,Cancellation information,ຂໍ້ມູນການຍົກເລີກ,,
번역 완료,"ADMIN 드라이버관리, ADMIN 무브배차, ADMIN 차량관리",Car,,Car,ລົດຍົນ,,
번역 완료,ADMIN 드라이버관리,Car registration,,Car registration,ການລົງທະບຽນລົດ,사용하지 않음,
번역 완료,ADMIN 드라이버관리,Car Registration / Vehicle,,Car Registration / Vehicle,ລົງທະບຽນ ລົດໃຫຍ່ / ຍານພາຫະນະ,"사용하지 않음 ",
번역 완료,ADMIN 콕콕관리,Card,,Card,ບັດ,,
병합 필요,ADMIN 무브관리,Cash,,Cash,ເງິນສົດ,เงินสด,现金结算
번역 완료,ADMIN 콕콕관리,Cash (Recipient),,Cash (Recipient),ເງິນສົດ (ຜູ້ຮັບ),,
번역 완료,ADMIN 콕콕관리,Cash (Sender),,Cash (Sender),ເງິນສົດ (ຜູ້ສົ່ງ),,
번역 완료,ADMIN 무브관리,Cash (unverified),,Cash (unverified),ເງິນສົດ (ຍັງບໍ່ທັນກວດສອບ),,
번역 완료,ADMIN 무브관리,Cash (verified),,Cash (verified),ເງິນສົດ (ກວດສອບແລ້ວ),,
제거 필요,"ADMIN 지원, ADMIN 회원관리",Category,필터,Category,ໝວດໝູ່,,
번역 완료,ADMIN 드라이버관리,Category has been added.,,Category has been added.,ໝວດໝູ່ນີ້ຖືກເພີ່ມແລ້ວ.,,
번역 완료,ADMIN 드라이버관리,Change,,Change,ປ່ຽນແປງ,,
번역 완료,ADMIN 일반배송(보류),Change allocation,,Change allocation,ປ່ຽນແປງການຈັດສັນ,,
번역 완료,ADMIN 차량관리,Change brand,,Change brand,ປ່ຽນຍີ່ຫໍ້,,
번역 완료,ADMIN 차량관리,Change broken item,,Change broken item,ປ່ຽນລາຍການເປ່ເພ,,
번역 완료,,Change color,,Change color,ປ່ຽນສີ,,
번역 완료,ADMIN 드라이버관리,Change core time,타이틀,Change core time,ການປ່ຽນເວລາການເຮັດວຽກ,,
번역 완료,ADMIN 드라이버관리,Change details,,Change details,ລາຍລະອຽດການປ່ຽນແປງ,,
번역 완료,ADMIN 드라이버관리,Change driver type,,Change driver type,ປ່ຽນປະເພດໄດເວີ,เปลี่ยนประเภทไดรเวอร์,
번역 완료,,Change engine type,,Change engine type,ປ່ຽນປະເພດເຄື່ອງຈັກ,,
번역 완료,ADMIN 차량관리,Change estimated repair due date,,Change estimated repair due date,ປ່ຽນການຄາດຄະເນວັນທີການສ້ອມແປງສໍາເລັດ,,
번역 완료,ADMIN 차량관리,Change frame number,,Change frame number,ປ່ຽນເລກຖັງ,,
번역 완료,ADMIN 차량관리,Change fuel type,,Change fuel type,ປ່ຽນປະເພດນໍ້າມັນເຊື້ອໄຟ,,
번역 완료,ADMIN 드라이버관리,Change hero type,타이틀,Change hero type,ການປ່ຽນປະເພດ Hero,,
번역 완료,ADMIN 드라이버관리,Change IB Cool Wallet number,,Change IB Cool Wallet number,ປ່ຽນໝາຍເລກກະເປົາເງິນ IB Cool,,
번역 완료,ADMIN 드라이버관리,Change mobile number,타이틀,Change mobile number,ປ່ຽນເບີໂທລະສັບ,,
번역 완료,ADMIN 차량관리,Change model,,Change model,ປ່ຽນແບບ,,
번역 완료,ADMIN 드라이버관리,Change name,,Change name,ການປ່ຽນຊື່ຄົນຂັບລົດ,,
번역 완료,ADMIN 지원,Change order,,Change order,ປ່ຽນ ລຳດັບໂຄສະນາ,,
번역 완료,ADMIN 콕콕관리,Change order status,타이틀,Change order status,ປ່ຽນສະຖານະ ຄໍາສັ່ງຂົນສົ່ງ,,
번역 완료,ADMIN 차량관리,Change owner,,Change owner,ປ່ຽນເຈົ້າຂອງ,,
번역 완료,"ADMIN 로그인, ADMIN 설정",Change password,,Change password,ປ່ຽນລະຫັດຜ່ານ,,
번역 완료,ADMIN 콕콕관리,Change payment gateway,,Change payment gateway,ປ່ຽນຮູບແບບການຊໍາລະ,,
번역 완료,ADMIN 무브관리,Change payment status,무브관리 Modal,Change payment status,ປ່ຽນສະຖານະການຊຳລະ,,
번역 완료,ADMIN 차량관리,"Change plate number ",,"Change plate number ",ປ່ຽນເລກທະບຽນ,เปลี่ยนเลขทะเบียน,
번역 완료,ADMIN 무브관리,Change Reason type,,Change Reason type,ປ່ຽນ​ປະ​ເພດ​ເຫດ​ຜົນ​,,
번역 완료,ADMIN 차량관리,Change repair loacation,,Change repair loacation,ປ່ຽນສະຖານທີ່ສ້ອມແປງ,,
번역 완료,ADMIN 드라이버관리,Change schedule,,Change schedule,ປ່ຽນຕາຕະລາງການເຮັດວຽກ,,
번역 완료,ADMIN 드라이버관리,Change service area,,Change service area,ປ່ຽນພື້ນທີ່ບໍລິການ,,
번역 완료,ADMIN 차량관리,Change service type,,Change service type,ປ່ຽນປະເພດການບໍລິການ,เปลี่ยนประเภทบริการ,
번역 완료,ADMIN 드라이버관리,Change status,,Change status,ປ່ຽນແປງສະຖານະ,,
번역 완료,ADMIN 드라이버관리,Change the actual time,,Change the actual time,ການປ່ຽນແປງເວລາທີ່ແທ້ຈິງ,เปลี่ยนเวลาจริง,
번역 완료,ADMIN 드라이버관리,Change to,,Change to,ປ່ຽນເປັນ,,
병합 필요,ADMIN 콕콕관리,"Change to ""Paid"" status",,"Change to ""Paid"" status","ປ່ຽນເປັນສະຖານະ ""ຈ່າຍແລ້ວ"".","เปลี่ยนเป็นสถานะ ""ชำระแล้ว""",
병합 필요,ADMIN 콕콕관리,Change to “Paid” status,,Change to “Paid” status,"ປ່ຽນເປັນ ສະຖານະ ""ຈ່າຍແລ້ວ""",,
병합 필요,ADMIN 지원,Changes you made may not be saved.,,Changes you made may not be saved.,ການປ່ຽນແປງຂອງທ່ານ ຍັງບໍ່ຖືກບັນທຶກ.,,
번역 완료,ADMIN 드라이버관리,Charge,,Charge,ແລກປ່ຽນເປັນຄະແນນ,,
확인 필요,"ADMIN 드라이버관리, ADMIN 정산",Charge points,헤더,Charge points,ຕື່ມຄະແນນ,เตีมคะแนน,
